132.145.123.159,8880,8880,false,CF优选_日本_JP_NRT
158.101.146.203,2087,2087,true,CF优选_日本_JP_NRT
151.145.64.170,2087,2087,true,CF优选_日本_JP_NRT
131.186.34.244,2082,2082,false,CF优选_日本_JP_NRT
158.101.142.103,2052,2052,false,CF优选_日本_JP_NRT
168.138.200.159,2086,2086,false,CF优选_日本_JP_NRT
158.101.154.70,2082,2082,false,CF优选_日本_JP_NRT
158.101.149.71,2086,2086,false,CF优选_日本_JP_NRT
131.186.37.69,2086,2086,false,CF优选_日本_JP_NRT
140.238.80.153,443,443,true,CF优选_德国_DE_FRA
141.147.174.190,8443,8443,true,CF优选_日本_JP_NRT
132.145.127.51,80,80,false,CF优选_日本_JP_NRT
158.101.137.74,2052,2052,false,CF优选_日本_JP_NRT
131.186.59.94,8880,8880,false,CF优选_日本_JP_NRT
141.147.191.132,8880,8880,false,CF优选_日本_JP_NRT
141.147.185.149,8880,8880,false,CF优选_日本_JP_NRT
131.186.58.151,2087,2087,true,CF优选_日本_JP_NRT
158.101.131.218,2095,2095,false,CF优选_日本_JP_NRT
132.226.214.48,443,443,true,CF优选_德国_DE_FRA
158.101.154.70,2052,2052,false,CF优选_日本_JP_NRT
152.70.99.187,8443,8443,true,CF优选_日本_JP_NRT
131.186.43.207,8443,8443,true,CF优选_日本_JP_NRT
132.145.126.21,2052,2052,false,CF优选_日本_JP_NRT
132.145.122.95,2095,2095,false,CF优选_日本_JP_NRT
158.101.150.74,8080,8080,false,CF优选_日本_JP_NRT
158.101.139.42,2083,2083,true,CF优选_日本_JP_NRT
138.3.220.4,8880,8880,false,CF优选_日本_JP_NRT
158.101.137.74,8443,8443,true,CF优选_日本_JP_NRT
131.186.39.42,80,80,false,CF优选_日本_JP_NRT
152.70.98.174,80,80,false,CF优选_日本_JP_NRT
168.138.206.68,80,80,false,CF优选_日本_JP_NRT
158.101.140.154,8080,8080,false,CF优选_日本_JP_NRT
140.238.32.238,2096,2096,true,CF优选_日本_JP_NRT
158.101.137.96,2082,2082,false,CF优选_日本_JP_NRT
131.186.62.26,2086,2086,false,CF优选_日本_JP_NRT
141.147.191.132,2082,2082,false,CF优选_日本_JP_NRT
